ax,ay,az,gx,gy,gz,label,sample_id
1.1106,-0.0349,-0.4065,-6.0611,-23.6641,-9.4580,0,0_0
1.0632,-0.0376,-0.3860,-10.4733,-29.5038,-16.4275,0,0_0
1.0151,-0.0007,-0.3894,-5.7710,-26.8855,-18.7176,0,0_0
0.9763,0.0068,-0.3838,3.0534,-15.0305,-17.4275,0,0_0
1.0486,0.0281,-0.3879,12.6260,-2.9466,-16.7481,0,0_0
1.0862,0.0034,-0.4277,17.5420,-0.0840,-22.0687,0,0_0
1.0310,-0.0039,-0.4521,19.5725,0.3588,-28.2137,0,0_0
0.9487,0.0195,-0.4639,21.5573,4.9847,-28.8626,0,0_0
0.9734,0.0249,-0.4690,21.2748,9.2366,-22.0534,0,0_0
1.0107,0.0100,-0.4597,15.2061,8.0534,-17.4275,0,0_0
1.0635,0.0107,-0.4229,7.8015,3.3282,-18.8779,0,0_0
1.1099,0.1096,-0.4104,3.6565,-0.7634,-12.8244,0,0_0
1.1929,0.0391,-0.4570,6.8015,-6.2977,-16.2595,0,0_0
1.1113,0.0518,-0.5061,10.1985,-8.7252,-21.3053,0,0_0
1.0408,0.0137,-0.5681,10.8321,-6.5802,-19.7328,0,0_0
1.0051,0.0112,-0.5901,7.4733,-2.9084,-12.8168,0,0_0
0.9702,0.0479,-0.5757,3.7176,4.4733,-1.6489,0,0_0
0.9705,0.0540,-0.5757,-2.6107,14.9695,7.3817,0,0_0
0.9512,0.0510,-0.5015,-7.5649,29.2595,18.8092,0,0_0
1.0012,0.0640,-0.4033,-7.3588,40.2519,28.3740,0,0_0
1.0830,0.0464,-0.3142,-5.5954,39.3511,30.5802,0,0_0
1.1023,0.0598,-0.3049,-2.9008,33.5038,26.7710,0,0_0
1.0684,0.0471,-0.3191,-0.7634,31.5267,21.8397,0,0_0
1.0891,0.0442,-0.2954,-0.8321,30.7405,14.2137,0,0_0
1.0835,0.0305,-0.2964,-0.6870,24.9237,5.5954,0,0_0
1.0513,0.0193,-0.3259,-3.7786,17.4656,1.7939,0,0_0
0.9590,0.0278,-0.3459,-8.5573,11.7557,2.3206,0,0_0
0.9409,0.0613,-0.3020,-10.7481,11.1221,10.8855,0,0_0
0.9478,0.0435,-0.2361,-9.6107,13.5649,16.7252,0,0_0
0.9565,0.0417,-0.1484,-2.0229,17.5725,21.2672,0,0_0
0.9697,0.0559,-0.1001,12.0153,18.1069,23.0305,0,0_0
0.9314,0.0466,-0.1604,26.3664,16.8473,25.6870,0,0_0
0.9180,0.0149,-0.2532,34.8931,15.8626,29.7557,0,0_0
0.9536,-0.0010,-0.3394,37.0763,10.2748,28.0000,0,0_0
1.0234,-0.0142,-0.4207,32.2901,-2.2443,22.2214,0,0_0
1.0129,0.0051,-0.4788,24.8626,-13.0382,15.4809,0,0_0
0.9509,0.0056,-0.4822,18.4122,-14.2748,10.6336,0,0_0
0.9988,0.0176,-0.4607,15.1756,-7.2672,5.8168,0,0_0
0.9932,0.0198,-0.4221,13.2366,-3.3740,2.6031,0,0_0
1.0222,0.0139,-0.4109,15.0687,-5.6183,1.5038,0,0_0
1.0105,0.0071,-0.4680,16.6870,-7.2443,0.7863,0,0_0
0.9727,0.0049,-0.5168,16.3435,-5.9237,1.2290,0,0_0
0.9834,-0.0193,-0.5483,13.8702,-4.7481,1.6260,0,0_0
1.0029,-0.0247,-0.5649,9.1069,-3.5725,1.0916,0,0_0
0.9939,-0.0562,-0.5962,2.6794,1.1221,-0.5115,0,0_0
1.0085,-0.0410,-0.5630,-4.9542,5.5344,-1.7863,0,0_0
1.0164,-0.0459,-0.5168,-10.8397,6.9084,-0.1756,0,0_0
1.0366,-0.0552,-0.4973,-11.7634,6.5344,0.9084,0,0_0
1.0601,-0.0627,-0.4653,-11.7786,7.5802,-2.1527,0,0_0
1.0313,-0.0627,-0.4702,-12.0000,12.1298,-5.4122,0,0_0
0.9976,-0.0759,-0.4673,-14.1374,19.1679,-6.5802,0,0_0
0.9644,-0.0737,-0.4275,-16.9160,23.2137,-6.5191,0,0_0
0.9385,-0.0642,-0.3831,-15.9924,24.6870,-4.8779,0,0_0
0.9729,-0.0930,-0.3799,-15.0534,21.6565,-4.1374,0,0_0
0.9158,-0.0779,-0.3882,-13.9542,18.8092,-1.2290,0,0_0
0.9143,-0.0706,-0.3987,-14.9618,22.1756,6.2824,0,0_0
0.9248,-0.0657,-0.3784,-18.0229,29.1069,12.0076,0,0_0
0.9495,-0.0718,-0.3323,-20.4504,36.2595,17.0153,0,0_0
0.9822,-0.0884,-0.2915,-19.8397,39.0763,19.4046,0,0_0
0.9983,-0.0920,-0.2659,-16.4885,38.3511,20.2595,0,0_0
1.0107,-0.1079,-0.2778,-13.7939,36.0840,18.2977,0,0_0
1.0066,-0.1208,-0.2954,-13.9695,34.0382,15.2672,0,0_0
1.0730,-0.1243,-0.2825,-15.8244,29.3359,10.4504,0,0_0
1.0603,-0.1499,-0.2993,-20.5878,20.4504,0.6718,0,0_0
1.0127,-0.1238,-0.2480,-21.9695,14.3664,-2.9389,0,0_0
0.9927,-0.1309,-0.2400,-20.8092,14.4275,-6.6412,0,0_0
0.9397,-0.1379,-0.2407,-20.4122,17.6718,-7.8244,0,0_0
0.9209,-0.1296,-0.2200,-19.5420,18.8321,-6.9008,0,0_0
0.9138,-0.1257,-0.2014,-18.9160,17.2672,-5.2061,0,0_0
0.9016,-0.1067,-0.1760,-16.1985,18.2595,-0.3130,0,0_0
0.9287,-0.1067,-0.1760,-12.5344,20.0229,3.0840,0,0_0
0.9487,-0.1023,-0.1753,-9.7328,17.9084,4.1298,0,0_0
0.9683,-0.0969,-0.1760,-8.5038,13.3435,2.4733,0,0_0
0.9744,-0.0891,-0.2124,-7.7099,10.5725,-0.5344,0,0_0
0.9607,-0.0930,-0.2358,-9.3359,8.4885,-4.1298,0,0_0
0.9746,-0.0818,-0.2166,-13.0687,5.1908,-7.6718,0,0_0
0.9592,-0.0730,-0.1848,-15.0000,-0.8168,-10.7099,0,0_0
0.9275,-0.0552,-0.1721,-15.5573,-8.3664,-13.3893,0,0_0
0.8838,-0.0432,-0.1799,-15.2672,-11.9847,-12.9924,0,0_0
0.8865,-0.0396,-0.1492,-15.2519,-15.4427,-13.0534,0,0_0
0.8826,-0.0183,-0.1028,-14.0458,-19.5344,-8.7481,0,0_0
0.9250,-0.0090,-0.0564,-9.3740,-24.1298,-4.3740,0,0_0
0.9719,-0.0176,-0.0107,-3.1298,-30.3130,-4.9695,0,0_0
1.0081,-0.0249,0.0149,3.6260,-40.2366,-10.1450,0,0_0
0.9985,-0.0164,-0.0168,9.1908,-53.9084,-21.6641,0,0_0
0.8765,-0.0330,-0.1143,11.8015,-62.6870,-29.9924,0,0_0
0.8647,-0.0496,-0.1824,9.2977,-65.4809,-34.2519,0,0_0
0.8057,-0.0701,-0.2214,2.4122,-66.4122,-33.3282,0,0_0
0.7705,-0.0591,-0.1755,-3.8168,-67.3817,-24.2443,0,0_0
0.7952,-0.0852,-0.1392,-5.7252,-69.2824,-11.5802,0,0_0
0.7493,-0.1250,-0.1091,-4.3969,-66.6794,5.9771,0,0_0
0.8293,-0.0588,-0.0430,3.2061,-61.3511,18.3893,0,0_0
1.0142,0.0488,0.0813,16.3893,-57.5115,7.1374,0,0_0
0.9966,-0.0237,-0.0112,38.0076,-43.4198,13.2824,0,0_0
1.0400,-0.0457,-0.1516,49.4580,-34.1679,25.1679,0,0_0
1.0415,-0.0591,-0.2456,51.0305,-28.9313,33.2061,0,0_0
1.1245,-0.0867,-0.3037,47.9618,-31.4351,33.1908,0,0_0
1.0894,-0.0735,-0.3647,43.9008,-36.4656,33.4656,0,0_0
1.0603,-0.0427,-0.3862,41.1374,-30.5649,42.6718,0,0_0
1.1755,-0.0413,-0.3752,40.7557,-18.6794,56.9084,0,0_0
1.3494,-0.0083,-0.3606,44.5725,-9.5267,63.7939,0,0_0
1.5669,-0.0198,-0.3713,49.7405,-6.4580,51.7634,0,0_0
1.6692,-0.0388,-0.4585,49.1603,-11.0000,21.2443,0,0_0
1.6250,-0.0793,-0.4836,45.8779,-16.6947,-16.3130,0,0_0
1.5579,-0.0635,-0.3884,47.3206,-20.2977,-44.9237,0,0_0
1.5037,-0.1099,-0.3662,52.6336,-24.0611,-61.0076,0,0_0
1.4143,-0.0876,-0.4290,48.5649,-23.5344,-70.8244,0,0_0
1.2615,-0.0283,-0.4421,46.2214,-14.2595,-69.4504,0,0_0
1.2244,0.0339,-0.4888,44.2214,-2.4046,-57.2519,0,0_0
1.2800,0.0117,-0.4756,43.4427,1.7863,-61.2977,0,0_0
1.2156,0.0366,-0.4524,46.0305,4.6947,-64.3282,0,0_0
1.1321,0.0579,-0.4470,49.3282,8.5344,-58.8779,0,0_0
1.1177,0.0840,-0.4258,53.8168,15.3282,-47.4198,0,0_0
1.0771,0.1343,-0.4663,61.6183,22.0382,-38.1069,0,0_0
1.1252,0.1514,-0.5630,64.4122,27.0687,-32.9313,0,0_0
1.1885,0.1169,-0.6104,62.0458,32.0916,-36.8550,0,0_0
1.2244,0.1150,-0.6323,57.3206,32.0611,-48.4504,0,0_0
1.2275,0.0967,-0.6609,50.5573,26.3664,-57.1221,0,0_0
1.1880,0.1023,-0.6697,42.7710,19.2748,-64.0076,0,0_0
1.1521,0.1006,-0.6824,36.1450,16.1145,-70.9084,0,0_0
1.0791,0.0891,-0.7102,26.5954,13.2824,-76.9771,0,0_0
0.9846,0.1155,-0.7275,17.2595,12.0534,-79.0076,0,0_0
0.9004,0.1250,-0.7253,7.5725,15.4427,-76.6489,0,0_0
0.8652,0.1448,-0.6536,0.7557,19.7863,-70.5725,0,0_0
0.8323,0.1479,-0.6245,-2.0000,23.8931,-61.1679,0,0_0
0.8411,0.1528,-0.5818,-0.8397,28.6794,-52.9695,0,0_0
0.8413,0.1377,-0.5818,3.2977,36.3282,-47.2519,0,0_0
0.8174,0.1406,-0.5959,5.5191,44.0534,-42.6641,0,0_0
0.7900,0.1384,-0.6472,3.9160,48.6870,-36.8473,0,0_0
0.7983,0.1460,-0.6611,-0.6260,51.0992,-26.5649,0,0_0
0.8379,0.1309,-0.6753,-9.4656,48.4275,-20.5725,0,0_0
0.8616,0.1223,-0.6609,-17.4198,43.8702,-17.7863,0,0_0
