epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.732,1.33003,1.88472,1.04218,0.04562,0.96015,0.55178,0.36973,1.19617,2.54896,0.96598,0.00056,0.00056,0.00056
2,462.881,1.21376,1.01974,1.03254,0.92659,0.50294,0.7682,0.49112,1.23569,2.18061,1.00229,0.00111743,0.00111743,0.00111743
3,695.626,1.2047,0.92405,1.01245,0.81462,0.72863,0.82258,0.52338,1.22191,1.65901,1.01307,0.00165189,0.00165189,0.00165189
4,923.737,1.20877,0.9185,1.01337,0.9031,0.78149,0.87606,0.567,1.19893,1.30652,0.99171,0.0018812,0.0018812,0.0018812
5,1152.34,1.1906,0.88257,1.01155,0.87764,0.8666,0.936,0.62372,1.15912,0.86085,0.98845,0.0018416,0.0018416,0.0018416
6,1366.31,1.17573,0.84836,1.00405,0.85569,0.88046,0.93054,0.63763,1.13961,0.80768,0.99509,0.001802,0.001802,0.001802
7,1589.42,1.11856,0.79473,0.98244,0.8914,0.90103,0.95625,0.64318,1.16557,0.75418,1.01727,0.0017624,0.0017624,0.0017624
8,1800.73,1.12439,0.77876,0.98128,0.90743,0.89462,0.95677,0.66709,1.08659,0.71186,0.97529,0.0017228,0.0017228,0.0017228
9,2053.36,1.11975,0.75819,0.98286,0.891,0.89308,0.94526,0.6622,1.07751,0.72874,0.9807,0.0016832,0.0016832,0.0016832
10,2270.06,1.10239,0.72491,0.97949,0.88896,0.92614,0.94318,0.6373,1.13984,0.69887,1.00575,0.0016436,0.0016436,0.0016436
11,2496.57,1.10324,0.72128,0.99082,0.87879,0.88533,0.93704,0.63659,1.15234,0.7045,0.99838,0.001604,0.001604,0.001604
12,2721.55,1.12685,0.73872,0.98499,0.84726,0.93405,0.94127,0.655,1.06864,0.70573,0.98261,0.0015644,0.0015644,0.0015644
13,2988.54,1.08623,0.68767,0.9642,0.91665,0.8905,0.9568,0.66523,1.0574,0.65064,0.97628,0.0015248,0.0015248,0.0015248
14,3210.7,1.08461,0.68149,0.97349,0.89579,0.89846,0.96243,0.67376,1.05029,0.62953,0.97374,0.0014852,0.0014852,0.0014852
15,3442.58,1.06724,0.65083,0.97479,0.89689,0.9126,0.9524,0.67409,1.06173,0.63497,0.96853,0.0014456,0.0014456,0.0014456
16,3678.37,1.07262,0.64878,0.96449,0.91085,0.89846,0.95566,0.67476,1.05082,0.6372,0.9757,0.001406,0.001406,0.001406
17,3913.25,1.06056,0.64234,0.95704,0.89655,0.92459,0.96014,0.68086,1.05043,0.60499,0.97114,0.0013664,0.0013664,0.0013664
18,4144.43,1.05349,0.64368,0.95846,0.89326,0.92508,0.96366,0.67658,1.05762,0.64553,0.97295,0.0013268,0.0013268,0.0013268
19,4357.74,1.06091,0.64154,0.96884,0.91148,0.91319,0.96643,0.68412,1.0433,0.62884,0.97414,0.0012872,0.0012872,0.0012872
20,4573.56,1.03962,0.62519,0.95787,0.89156,0.93188,0.94794,0.66915,1.03725,0.62414,0.97417,0.0012476,0.0012476,0.0012476
21,4815.17,1.04666,0.62788,0.96256,0.9037,0.89259,0.96002,0.6865,1.0403,0.5941,0.96348,0.001208,0.001208,0.001208
22,5031.12,1.03968,0.6241,0.96714,0.88827,0.91971,0.95679,0.67339,1.07811,0.59638,0.97038,0.0011684,0.0011684,0.0011684
23,5275.22,1.03623,0.60947,0.963,0.89422,0.90231,0.95618,0.67346,1.04013,0.58696,0.97002,0.0011288,0.0011288,0.0011288
24,5518.99,1.01859,0.6003,0.95635,0.90773,0.91043,0.9651,0.67701,1.05244,0.57808,0.96807,0.0010892,0.0010892,0.0010892
25,5786.74,1.02233,0.60266,0.95307,0.90425,0.92674,0.96443,0.69043,1.02442,0.56285,0.96659,0.0010496,0.0010496,0.0010496
26,6003.76,1.02099,0.59016,0.94705,0.91761,0.93055,0.96706,0.68704,1.02314,0.55561,0.96114,0.00101,0.00101,0.00101
27,6225.61,1.03968,0.59526,0.95764,0.90771,0.93546,0.96692,0.69606,1.01664,0.55648,0.96053,0.0009704,0.0009704,0.0009704
28,6450.41,1.01687,0.58099,0.94519,0.92119,0.93152,0.97226,0.7004,1.00801,0.54039,0.95999,0.0009308,0.0009308,0.0009308
29,6682.16,0.98774,0.56854,0.9467,0.9104,0.92726,0.96397,0.69162,0.99782,0.5525,0.95105,0.0008912,0.0008912,0.0008912
30,6892.32,1.00536,0.57257,0.94917,0.9074,0.92031,0.96856,0.70584,0.99544,0.53354,0.95205,0.0008516,0.0008516,0.0008516
31,7106.19,0.98841,0.55929,0.93676,0.9022,0.9367,0.96662,0.70368,0.98972,0.52585,0.94949,0.000812,0.000812,0.000812
32,7323.67,1.00568,0.56532,0.94862,0.91362,0.89717,0.96429,0.69156,1.01409,0.5424,0.95996,0.0007724,0.0007724,0.0007724
33,7573.46,0.9931,0.55907,0.94167,0.92219,0.89876,0.96734,0.70777,0.99556,0.53152,0.95137,0.0007328,0.0007328,0.0007328
